id	nev	kezdeseve	vegzeseve
3193	Vámos Dániel	2020	NULL
3194	Somos György	2017	2021
3195	Pécsi Rozi	2011	2015
3196	Ötvös Attila	2015	2019
3197	Bencsik Albert	2015	2019
3198	Kis András	2012	2016
3199	Gál Alexandra	2012	2016
3200	Nagy András	2013	2017
3201	Bencsik Kitti	2001	2005
3202	Ötvös Klaudia	2015	2019
3203	Torma Kitti	2005	2009
3204	Magyar Zsolt	2018	2022
3205	Torma Fanni	2017	2021
3206	Juhász Petra	2018	2022
3207	Győri Zoltán	2008	2012
3208	Hujber Noémi	2015	2019
3209	Elek Zsófia	2000	2004
3210	Takács Zsuzsanna	2010	2014
3211	Torma Klaudia	2003	2007
3212	Tóth Zsófia	2009	2013
3213	Elek András	2006	2010
3214	Halász Rozi	2011	2015
3215	Elek Béla	2020	NULL
3216	Kiss Luca	2013	2017
3217	Rácz Jenő	2020	NULL
3218	Tóth Aladár	2000	2004
3219	Balogh Mariann	2008	2012
3220	Szabó Fanni	2015	2019
3221	Szekeres Gabriella	2003	2007
3222	Hujber Henrietta	2006	2010
3223	Galambos Gabriella	2014	2018
3224	Pataki Mariann	2022	NULL
3225	Pataki Rozi	2017	2021
3226	Somos Margit	2017	2021
3227	Vámos Balázs	2003	2007
3228	Pécsi Krisztina	2011	2015
3229	Nagy Albert	2012	2016
3230	Somos Viktória	2020	NULL
3231	Ötvös József	2015	2019
3232	Gál István	2020	NULL
3233	Mészáros Lili	2015	2019
3234	Szabó József	2003	2007
3235	Győri Zsófia	2019	2023
3236	Galambos András	2020	NULL
3237	Győri Henrietta	2003	2007
3238	Molnár Krisztina	2017	2021
3239	Magyar Gabriella	2003	2007
3240	Győri Adrienn	2003	2007
3241	Fekete Klaudia	2019	2023
3242	Kis Ferenc	2004	2008
3243	Fehér Ilonka	2015	2019
3244	Balogh Ferenc	2004	2008
3245	Szakács Roland	2003	2007
3246	Halász Dániel	2003	2007
3247	Kis Viktória	2009	2013
3248	Tóth Gyula	2007	2011
3249	Nagy Gabriella	2005	2009
3250	Pataki Albert	2011	2015
3251	Takács Fanni	2001	2005
3252	Magyar Bálint	2009	2013
3253	Németh Krisztina	2008	2012
3254	Rácz Gabriella	2018	2022
3255	Kocsis János	2001	2005
3256	Sípos Henrietta	2021	NULL
3257	Farkas László	2003	2007
3258	Győri Helga	2008	2012
3259	Varga Béla	2020	NULL
3260	Elek Mariann	2011	2015
3261	Kocsis Lili	2010	2014
3262	Mészáros Rozi	2006	2010
3263	Vámos Barbara	2010	2014
3264	Szabó Lili	2016	2020
3265	Kocsis Jenő	2008	2012
3266	Pécsi Bálint	2006	2010
3267	Galambos Balázs	2005	2009
3268	Győri Gyula	2012	2016
3269	Sípos Tímea	2012	2016
3270	Pataki Attila	2010	2014
3271	Szilágyi Jenő	2019	2023
3272	Hujber Tamás	2015	2019
3273	Galambos Zoltán	2020	NULL
3274	Pécsi Réka	2007	2011
3275	Töreki Nándor	2008	2012
3276	Juhász Zsolt	2010	2014
3277	Győri Réka	2003	2007
3278	Juhász Henrietta	2007	2011
3279	Kovács Krisztina	2005	2009
3280	Balogh Nóra	2019	2023
3281	Kis János	2022	NULL
3282	Szekeres Eszter	2001	2005
3283	Takács Nóra	2003	2007
3284	Elek Bence	2008	2012
3285	Magyar Viktória	2019	2023
3286	Szekeres Henrietta	2004	2008
3287	Varga Réka	2000	2004
3288	Takács Nikolett	2004	2008
3289	Németh Roland	2012	2016
3290	Ötvös Klaudia	2015	2019
3291	Szekeres Alajos	2000	2004
3292	Fekete Lajos	2010	2014
3293	Töreki Barbara	2012	2016
3294	Töreki Adrienn	2000	2004
3295	Balogh Noémi	2015	2019
3296	Vámos Tamás	2016	2020
3297	Szabó Zsolt	2022	NULL
3298	Bencsik Nándor	2013	2017
3299	Kiss Balázs	2019	2023
3300	Mészáros Eszter	2001	2005
3301	Sípos Dóra	2003	2007
3302	Sípos Antal	2003	2007
3303	Kocsis Réka	2000	2004
3304	Varga Fanni	2020	NULL
3305	Takács Nóra	2000	2004
3306	Fehér Ilonka	2008	2012
3307	Győri Antal	2015	2019
3308	Vámos Gabriella	2018	2022
3309	Szilágyi Kálmán	2022	NULL
3310	Pataki Dániel	2009	2013
3311	Tóth Tímea	2009	2013
3312	Kocsis Margit	2012	2016
3313	Győri Zoltán	2010	2014
3314	Elek Antal	2022	NULL
3315	Pataki Ilonka	2001	2005
3316	Kovács Antal	2011	2015
3317	Fekete József	2001	2005
3318	Vámos Nikolett	2000	2004
3319	Varga Ilonka	2018	2022
3320	Juhász Rebeka	2018	2022
3321	Bencsik Zsolt	2001	2005
3322	Kiss András	2007	2011
3323	Győri Zoltán	2007	2011
3324	Bencsik Réka	2013	2017
3325	Molnár Béla	2010	2014
3326	Győri Gyula	2011	2015
3327	Magyar Martin	2013	2017
3328	Németh Henrietta	2017	2021
3329	Molnár József	2008	2012
3330	Kocsis Alajos	2005	2009
3331	Juhász Lilla	2012	2016
3332	Kovács Viktória	2017	2021
3333	Magyar Nándor	2001	2005
3334	Töreki Gábor	2014	2018
3335	Nagy Krisztina	2021	NULL
3336	Fekete Eszter	2002	2006
3337	Sípos Fanni	2019	2023
3338	Elek Rebeka	2000	2004
3339	Bencsik Nikolett	2011	2015
3340	Kovács Lajos	2004	2008
3341	Molnár Gergely	2018	2022
3342	Varga Petra	2012	2016
3343	Halász Rebeka	2019	2023
3344	Gál Lajos	2001	2005
3345	Szilágyi Kitti	2014	2018
3346	Kis János	2014	2018
3347	Bencsik Roland	2021	NULL
3348	Tóth Attila	2017	2021
3349	Töreki Tamás	2014	2018
3350	Halász Dóri	2013	2017
3351	Rácz Rozi	2016	2020
3352	Farkas Kálmán	2008	2012
3353	Pataki Fanni	2006	2010
3354	Halász Margit	2008	2012
3355	Balogh Fanni	2020	NULL
3356	Torma Nándor	2005	2009
3357	Elek Dóra	2018	2022
3358	Juhász István	2004	2008
3359	Balogh Rudolf	2019	2023
3360	Halász Adrienn	2018	2022
3361	Takács Balázs	2022	NULL
3362	Mészáros Kitti	2000	2004
3363	Pécsi Helga	2002	2006
3364	Vámos Antal	2010	2014
3365	Molnár Barbara	2016	2020
3366	Szakács Attila	2018	2022
3367	Töreki Ilonka	2000	2004
3368	Halász Martin	2003	2007
3369	Galambos Zsolt	2014	2018
3370	Kiss Klaudia	2017	2021
3371	Győri Jenő	2012	2016
3372	Galambos Katalin	2019	2023
3373	Ötvös Alajos	2019	2023
3374	Győri Helga	2000	2004
3375	Hujber Petra	2022	NULL
3376	Magyar Zsuzsanna	2017	2021
3377	Gál Katalin	2013	2017
3378	Nagy Gabriella	2011	2015
3379	Szekeres Dóra	2002	2006
3380	Halász Adrienn	2000	2004
3381	Torma József	2016	2020
3382	Balogh László	2008	2012
3383	Kiss Aladár	2009	2013
3384	Pataki Margit	2004	2008
3385	Rácz Gábor	2013	2017
3386	Kiss Lili	2016	2020
3387	Szakács Kálmán	2018	2022
3388	Pécsi Gergely	2017	2021
3389	Hujber Nóra	2006	2010
3390	Kocsis Eszter	2009	2013
3391	Gál Dóri	2021	NULL
3392	Szilágyi Ferenc	2007	2011
3393	Molnár József	2020	NULL
3394	Vámos Viktória	2017	2021
3395	Tóth Adrienn	2011	2015
3396	Szekeres Antal	2006	2010
3397	Szekeres Martin	2002	2006
3398	Fekete Patrik	2018	2022
3399	Fekete Lajos	2018	2022
3400	Tóth Nóra	2005	2009
3401	Juhász Balázs	2001	2005
3402	Somos Viktória	2002	2006
3403	Farkas Gergely	2010	2014
3404	Rácz Bence	2009	2013
3405	Kis Rozi	2002	2006
3406	Kiss Tímea	2008	2012
3407	Tóth Nóra	2011	2015
3408	Pataki Gergely	2005	2009
3409	Fehér Dóra	2007	2011
3410	Halász Ádám	2002	2006
3411	Kiss Luca	2014	2018
3412	Hujber Zsuzsanna	2010	2014
3413	Rácz Martin	2009	2013
3414	Pataki Gyula	2008	2012
3415	Rácz Krisztina	2009	2013
3416	Kis Katalin	2021	NULL
3417	Vámos Nikolett	2000	2004
3418	Takács György	2012	2016
3419	Tóth Rozi	2009	2013
3420	Kis Antal	2004	2008
3421	Pécsi Máté	2005	2009
3422	Szabó Aladár	2006	2010
3423	Szilágyi Zoltán	2005	2009
3424	Halász Katalin	2009	2013
3425	Vámos Nóra	2009	2013
3426	Szilágyi Kálmán	2008	2012
3427	Torma Dániel	2018	2022
3428	Szakács András	2011	2015
3429	Gál Jenő	2021	NULL
3430	Kiss József	2011	2015
3431	Fehér Barbara	2021	NULL
3432	Ötvös Petra	2004	2008
3433	Szekeres Jenő	2006	2010
3434	Varga Kitti	2000	2004
3435	Nagy Kálmán	2008	2012
3436	Sípos Lajos	2022	NULL
3437	Kovács Gabriella	2003	2007
3438	Bencsik Klaudia	2021	NULL
3439	Bencsik János	2002	2006
3440	Németh Luca	2020	NULL
3441	Gál Máté	2005	2009
3442	Szekeres Zoltán	2014	2018
3443	Gál Ilonka	2013	2017
3444	Magyar Krisztina	2014	2018
3445	Balogh Béla	2005	2009
3446	Fehér Adrienn	2013	2017
3447	Szilágyi Nikolett	2007	2011
3448	Pataki Klaudia	2009	2013
3449	Sípos Barbara	2017	2021
3450	Torma Alexandra	2012	2016
3451	Galambos Adrienn	2000	2004
3452	Tóth Nándor	2003	2007
3453	Tóth Luca	2012	2016
3454	Vámos Alexandra	2012	2016
3455	Tóth Gergely	2014	2018
3456	Ötvös Zsófia	2014	2018
3457	Kovács Attila	2013	2017
3458	Farkas Gyula	2004	2008
3459	Fekete Alajos	2022	NULL
3460	Magyar Nándor	2020	NULL
3461	Szabó György	2014	2018
3462	Ötvös Kitti	2011	2015
3463	Vámos Máté	2006	2010
3464	Kiss Noémi	2015	2019
3465	Kovács Rozi	2016	2020
3466	Kocsis János	2019	2023
3467	Szilágyi Katalin	2019	2023
3468	Kiss Rudolf	2017	2021
3469	Ötvös Gyula	2000	2004
3470	Halász József	2011	2015
3471	Varga Katalin	2004	2008
3472	Takács Antal	2012	2016
3473	Torma János	2001	2005
3474	Balogh Lajos	2001	2005
3475	Varga Ferenc	2007	2011
3476	Elek György	2012	2016
3477	Elek Henrietta	2016	2020
3478	Halász Albert	2011	2015
3479	Ötvös Tímea	2010	2014
3480	Töreki Adrienn	2021	NULL
3481	Szilágyi Gabriella	2011	2015
3482	Szilágyi Roland	2009	2013
3483	Szabó Helga	2017	2021
3484	Sípos Alajos	2014	2018
3485	Magyar Nikolett	2022	NULL
3486	Kiss Dóri	2016	2020
3487	Kovács György	2022	NULL
3488	Molnár Béla	2010	2014
3489	Somos Patrik	2016	2020
3490	Galambos Albert	2016	2020
3491	Kovács József	2012	2016
3492	Rácz Nóra	2017	2021
3493	Tóth Alexandra	2019	2023
3494	Pécsi Dóri	2016	2020
3495	Galambos Klaudia	2020	NULL
3496	Vámos Tamás	2009	2013
3497	Szekeres Roland	2015	2019
3498	Balogh Nándor	2006	2010
3499	Ötvös Dániel	2001	2005
3500	Kis Nándor	2008	2012
3501	Farkas Gergely	2020	NULL
3502	Vámos Rozi	2007	2011
3503	Hujber Rozi	2003	2007
3504	Halász Gábor	2009	2013
3505	Balogh Ilonka	2005	2009
3506	Bencsik Gergely	2010	2014
3507	Nagy Klaudia	2018	2022
3508	Farkas Nikolett	2005	2009
3509	Juhász Ilonka	2006	2010
3510	Szabó Rudolf	2021	NULL
3511	Rácz János	2016	2020
3512	Szakács Bálint	2012	2016
3513	Szakács György	2005	2009
3514	Sípos Zoltán	2001	2005
3515	Juhász Katalin	2018	2022
3516	Szakács Nóra	2006	2010
3517	Szabó Balázs	2005	2009
3518	Sípos Balázs	2007	2011
3519	Szabó Mariann	2000	2004
3520	Ötvös György	2015	2019
3521	Takács Gyula	2013	2017
3522	Bencsik Alexandra	2017	2021
3523	Torma Luca	2008	2012
3524	Rácz Petra	2008	2012
3525	Takács Lili	2006	2010
3526	Pataki Zsófia	2017	2021
3527	Varga Ilonka	2002	2006
3528	Fekete Albert	2011	2015
3529	Rácz Béla	2015	2019
3530	Kiss Klaudia	2014	2018
3531	Magyar Zoltán	2013	2017
3532	Pécsi Lajos	2019	2023
3533	Balogh Balázs	2008	2012
3534	Magyar Eszter	2004	2008
3535	Szakács Luca	2005	2009
3536	Töreki Bence	2002	2006
3537	Mészáros Alexandra	2001	2005
3538	Sípos Lili	2016	2020
3539	Győri Gyula	2021	NULL
3540	Somos Gabriella	2006	2010
3541	Fehér Dóra	2003	2007
3542	Szekeres Ádám	2008	2012
3543	Juhász Noémi	2015	2019
3544	Fehér Dóri	2001	2005
3545	Ötvös Martin	2001	2005
3546	Vámos Albert	2007	2011
3547	Varga Dániel	2003	2007
3548	Sípos Zsuzsanna	2009	2013
3549	Győri Rudolf	2003	2007
3550	Németh Zsófia	2016	2020
3551	Ötvös Barbara	2008	2012
3552	Szakács Ilonka	2013	2017
3553	Szekeres Mariann	2007	2011
3554	Galambos Eszter	2012	2016
3555	Hujber Rozi	2022	NULL
3556	Fehér Kitti	2012	2016
3557	Győri Kitti	2015	2019
3558	Szabó György	2021	NULL
3559	Töreki Klaudia	2003	2007
3560	Pécsi Lilla	2013	2017
3561	Fekete Rebeka	2009	2013
3562	Kis Martin	2003	2007
3563	Tóth Gyula	2018	2022
3564	Szilágyi Lilla	2013	2017
3565	Mészáros Dóra	2014	2018
3566	Molnár Patrik	2002	2006
3567	Szakács Nóra	2005	2009
3568	Fekete Tímea	2012	2016
3569	Gál János	2011	2015
3570	Varga Tímea	2017	2021
3571	Molnár Tamás	2010	2014
3572	Fekete Henrietta	2015	2019
3573	Ötvös Aladár	2019	2023
3574	Somos László	2020	NULL
3575	Mészáros Henrietta	2014	2018
3576	Hujber Máté	2011	2015
3577	Pécsi Adrienn	2010	2014
3578	Rácz Anna	2003	2007
3579	Balogh Nándor	2002	2006
3580	Mészáros Tamás	2019	2023
3581	Galambos Ádám	2003	2007
3582	Győri Nikolett	2004	2008
3583	Rácz Zsuzsanna	2014	2018
3584	Balogh Aladár	2010	2014
3585	Kis Fanni	2006	2010
3586	Ötvös Lilla	2014	2018
3587	Ötvös Nikolett	2010	2014
3588	Kovács Attila	2021	NULL
3589	Vámos József	2007	2011
3590	Kovács Nikolett	2017	2021
3591	Győri Gábor	2015	2019
3592	Magyar Krisztina	2022	NULL
3593	Vámos Alexandra	2020	NULL
3594	Győri Lili	2012	2016
3595	Takács István	2009	2013
3596	Tóth Attila	2012	2016
3597	Gál Rebeka	2000	2004
3598	Kocsis Patrik	2004	2008
3599	Szekeres Roland	2005	2009
3600	Fekete Nóra	2008	2012
3601	Győri Jenő	2002	2006
3602	Vámos Kitti	2007	2011
3603	Pataki István	2014	2018
3604	Kovács Mariann	2020	NULL
3605	Gál Alajos	2012	2016
3606	Sípos Albert	2012	2016
3607	Balogh István	2019	2023
3608	Gál Gergely	2006	2010
3609	Varga Ádám	2020	NULL
3610	Bencsik György	2003	2007
3611	Bencsik András	2005	2009
3612	Varga Rozi	2010	2014
3613	Kocsis Dóri	2005	2009
3614	Nagy Roland	2014	2018
3615	Szakács Roland	2017	2021
3616	Pécsi Bálint	2011	2015
3617	Rácz Réka	2012	2016
3618	Juhász János	2022	NULL
3619	Varga Mariann	2021	NULL
3620	Balogh Lajos	2010	2014
3621	Ötvös Zsolt	2009	2013
3622	Varga Mariann	2002	2006
3623	Juhász Barbara	2010	2014
3624	Halász Barbara	2010	2014
3625	Szilágyi Rebeka	2002	2006
3626	Németh Albert	2016	2020
3627	Farkas Fanni	2019	2023
3628	Fekete Aladár	2011	2015
3629	Balogh Nóra	2001	2005
3630	Szabó Antal	2003	2007
3631	Szilágyi Lilla	2013	2017
3632	Gál Mariann	2017	2021
3633	Győri Alexandra	2004	2008
3634	Farkas István	2010	2014
3635	Farkas Antal	2010	2014
3636	Nagy Zsolt	2002	2006
3637	Kiss Patrik	2008	2012
3638	Fehér Rudolf	2011	2015
3639	Halász Tamás	2020	NULL
3640	Takács Attila	2005	2009
3641	Elek Noémi	2011	2015
3642	Fekete Nikolett	2010	2014
3643	Vámos Nóra	2022	NULL
3644	Somos Béla	2020	NULL
3645	Molnár Gergely	2000	2004
3646	Szakács Fanni	2019	2023
3647	Nagy Máté	2012	2016
3648	Magyar Zsuzsanna	2010	2014
3649	Takács Nóra	2015	2019
3650	Töreki Barbara	2000	2004
3651	Bencsik Patrik	2006	2010
3652	Juhász Ilonka	2013	2017
3653	Molnár Anna	2022	NULL
3654	Balogh Gyula	2016	2020
3655	Mészáros Lajos	2016	2020
3656	Balogh Kálmán	2007	2011
3657	Ötvös Rebeka	2010	2014
3658	Gál Zsolt	2020	NULL
3659	Fehér Dóri	2019	2023
3660	Juhász Patrik	2006	2010
3661	Szabó Anna	2007	2011
3662	Szilágyi Henrietta	2004	2008
3663	Magyar András	2010	2014
3664	Farkas Alexandra	2005	2009
3665	Takács Gergely	2015	2019
3666	Rácz Dóri	2002	2006
3667	Szakács Kitti	2010	2014
3668	Elek Zoltán	2000	2004
3669	Sípos Petra	2013	2017
3670	Szekeres Gabriella	2005	2009
3671	Németh Nikolett	2022	NULL
3672	Kovács Jenő	2010	2014
3673	Mészáros János	2009	2013
3674	Gál Alexandra	2008	2012
3675	Fekete Bence	2019	2023
3676	Galambos Dóra	2009	2013
3677	Pécsi Noémi	2001	2005
3678	Torma Ilonka	2020	NULL
3679	Fekete Kitti	2009	2013
3680	Szilágyi Tímea	2011	2015
3681	Kis Barbara	2008	2012
3682	Magyar Béla	2016	2020
3683	Tóth Bence	2003	2007
3684	Szabó Jenő	2006	2010
3685	Pécsi Viktória	2001	2005
3686	Fehér Zsuzsanna	2004	2008
3687	Bencsik Gabriella	2003	2007
3688	Szekeres Gábor	2017	2021
3689	Kovács Alexandra	2021	NULL
3690	Kiss Mariann	2019	2023
3691	Töreki Noémi	2005	2009
3692	Gál Fanni	2013	2017
3693	Németh Ádám	2010	2014
3694	Farkas Gábor	2005	2009
3695	Somos Alexandra	2008	2012
3696	Magyar Gyula	2021	NULL
3697	Torma Luca	2014	2018
3698	Varga Eszter	2006	2010
3699	Kiss Nóra	2001	2005
3700	Szilágyi Alexandra	2015	2019
3701	Halász Gergely	2003	2007
3702	Juhász Aladár	2007	2011
3703	Vámos Margit	2011	2015
3704	Gál György	2004	2008
3705	Mészáros Rebeka	2007	2011
3706	Fehér Aladár	2020	NULL
3707	Galambos Gyula	2002	2006
3708	Balogh Alexandra	2000	2004
3709	Szabó Zsuzsanna	2007	2011
3710	Kiss János	2017	2021
3711	Szekeres Krisztina	2001	2005
3712	Somos Béla	2002	2006
3713	Mészáros Adrienn	2002	2006
3714	Pécsi Zsófia	2018	2022
3715	Kovács Ádám	2013	2017
3716	Töreki László	2019	2023
3717	Kovács Fanni	2020	NULL
3718	Mészáros Albert	2000	2004
3719	Szilágyi Ádám	2018	2022
3720	Szakács Gabriella	2016	2020
3721	Hujber Nóra	2007	2011
3722	Fekete Eszter	2010	2014
3723	Fehér Balázs	2009	2013
3724	Fekete Martin	2011	2015
3725	Mészáros Attila	2005	2009
3726	Balogh Ilonka	2014	2018
3727	Vámos Ilonka	2011	2015
3728	Molnár Aladár	2020	NULL
3729	Hujber Eszter	2019	2023
3730	Hujber Gábor	2007	2011
3731	Magyar Zsolt	2005	2009
3732	Pataki Béla	2005	2009
3733	Kiss Henrietta	2020	NULL
3734	Farkas Zsuzsanna	2015	2019
3735	Bencsik Krisztina	2011	2015
3736	Kovács János	2019	2023
3737	Farkas Gabriella	2016	2020
3738	Hujber Attila	2021	NULL
3739	Molnár Gergely	2014	2018
3740	Németh Adrienn	2020	NULL
3741	Halász Béla	2011	2015
3742	Kiss Rozi	2007	2011
3743	Kiss Antal	2014	2018
3744	Bencsik László	2006	2010
3745	Elek Dóri	2013	2017
3746	Győri Luca	2007	2011
3747	Gál Rozi	2019	2023
3748	Sípos Bence	2001	2005
3749	Pataki Kitti	2013	2017
3750	Nagy Zsófia	2003	2007
3751	Molnár Kálmán	2003	2007
3752	Balogh Mariann	2014	2018
3753	Galambos Zsófia	2005	2009
3754	Torma Petra	2017	2021
3755	Gál Klaudia	2008	2012
3756	Kocsis Eszter	2000	2004
3757	Fehér Rebeka	2012	2016
3758	Tóth Petra	2000	2004
3759	Kis Katalin	2000	2004
3760	Pécsi Dániel	2016	2020
3761	Pataki Eszter	2020	NULL
3762	Nagy Balázs	2016	2020
3763	Sípos Nóra	2022	NULL
3764	Torma Réka	2012	2016
3765	Kis Zsuzsanna	2005	2009
3766	Vámos Anna	2002	2006
3767	Torma József	2016	2020
3768	Vámos Fanni	2011	2015
3769	Kovács Attila	2016	2020
3770	Ötvös András	2020	NULL
3771	Tóth Zsolt	2013	2017
3772	Pataki Attila	2022	NULL
3773	Pataki Dóri	2006	2010
3774	Nagy Eszter	2017	2021
3775	Tóth László	2001	2005
3776	Galambos Rebeka	2001	2005
3777	Szekeres Alajos	2015	2019
3778	Szekeres Alajos	2000	2004
3779	Galambos Nikolett	2020	NULL
3780	Fehér Klaudia	2004	2008
3781	Németh Alajos	2009	2013
3782	Sípos Ferenc	2009	2013
3783	Kovács Nikolett	2010	2014
3784	Szekeres Rebeka	2010	2014
3785	Farkas Attila	2013	2017
3786	Halász Zoltán	2018	2022
3787	Mészáros Patrik	2013	2017
3788	Fekete Margit	2008	2012
3789	Vámos Ádám	2007	2011
3790	Molnár Albert	2002	2006
3791	Sípos Gergely	2009	2013
3792	Győri József	2014	2018
3793	Torma Bence	2017	2021
3794	Sípos Tamás	2001	2005
3795	Galambos Lajos	2019	2023
3796	Somos Alexandra	2014	2018
3797	Szabó Attila	2014	2018
3798	Pécsi Balázs	2018	2022
3799	Bencsik István	2002	2006
3800	Szekeres Tamás	2019	2023
3801	Juhász Kitti	2019	2023
3802	Töreki Nikolett	2016	2020
3803	Németh Máté	2019	2023
3804	Farkas Eszter	2019	2023
3805	Balogh Bence	2017	2021
3806	Pécsi Helga	2019	2023
3807	Hujber Nóra	2014	2018
3808	Farkas Nikolett	2021	NULL
3809	Bencsik Martin	2016	2020
3810	Pécsi Kitti	2006	2010
3811	Kis Tamás	2005	2009
3812	Fekete Attila	2017	2021
3813	Bencsik Béla	2018	2022
3814	Elek Ilonka	2002	2006
3815	Fehér Martin	2018	2022
3816	Németh Dóra	2007	2011
3817	Farkas Lilla	2013	2017
3818	Bencsik Katalin	2001	2005
3819	Kiss Petra	2021	NULL
3820	Fekete Nóra	2005	2009
3821	Kocsis Réka	2013	2017
3822	Takács Fanni	2006	2010
3823	Farkas Gyula	2004	2008
3824	Töreki Kálmán	2009	2013
3825	Pécsi Albert	2010	2014
3826	Vámos Zsuzsanna	2012	2016
3827	Pécsi Bence	2013	2017
3828	Pataki János	2002	2006
3829	Pataki Lajos	2021	NULL
3830	Galambos Zoltán	2003	2007
3831	Gál Zsuzsanna	2008	2012
3832	Töreki Ádám	2007	2011
3833	Gál Máté	2014	2018
3834	Varga Máté	2010	2014
3835	Rácz Klaudia	2000	2004
3836	Fekete Tamás	2006	2010
3837	Gál Helga	2001	2005
3838	Rácz Luca	2003	2007
3839	Kovács Krisztina	2008	2012
3840	Nagy András	2013	2017
3841	Somos Nikolett	2007	2011
3842	Kiss Katalin	2000	2004
3843	Németh Béla	2017	2021
3844	Magyar Lili	2001	2005
3845	Somos Viktória	2008	2012
3846	Varga Nikolett	2011	2015
3847	Szekeres Dóri	2006	2010
3848	Szekeres Tímea	2014	2018
3849	Takács Zoltán	2018	2022
3850	Varga Gabriella	2007	2011
3851	Farkas Noémi	2001	2005
3852	Fekete Nándor	2002	2006
3853	Töreki Helga	2019	2023
3854	Bencsik Dóri	2013	2017
3855	Kocsis Aladár	2010	2014
3856	Farkas Viktória	2013	2017
3857	Takács Katalin	2010	2014
3858	Somos András	2015	2019
3859	Balogh János	2006	2010
3860	Kocsis Barbara	2006	2010
3861	Vámos Gyula	2009	2013
3862	Halász Albert	2005	2009
3863	Somos Alajos	2003	2007
3864	Győri Dániel	2002	2006
3865	Pécsi Rudolf	2007	2011
3866	Juhász Gergely	2017	2021
3867	Varga Eszter	2013	2017
3868	Sípos Dóri	2021	NULL
3869	Mészáros Aladár	2002	2006
3870	Sípos Dóra	2022	NULL
3871	Farkas Antal	2004	2008
3872	Tóth Tamás	2008	2012
3873	Szabó Luca	2004	2008
3874	Szabó Rudolf	2000	2004
3875	Farkas Barbara	2014	2018
3876	Pécsi Attila	2021	NULL
3877	Németh Nikolett	2003	2007
3878	Kis János	2006	2010
3879	Nagy Adrienn	2001	2005
3880	Gál Réka	2011	2015
3881	Szabó Nándor	2006	2010
3882	Szabó Viktória	2014	2018
3883	Pécsi János	2022	NULL
3884	Magyar Balázs	2015	2019
3885	Szekeres Katalin	2004	2008
3886	Hujber Gábor	2000	2004
3887	Mészáros Zsolt	2004	2008
3888	Szilágyi József	2020	NULL
3889	Szakács Gábor	2001	2005
3890	Magyar Alajos	2011	2015
3891	Kiss Klaudia	2009	2013
3892	Kovács Máté	2006	2010
3893	Sípos András	2004	2008
3894	Kocsis Ilonka	2010	2014
3895	Győri Petra	2000	2004
3896	Gál Rudolf	2010	2014
3897	Szilágyi József	2000	2004
3898	Pécsi Eszter	2009	2013
3899	Hujber Nóra	2011	2015
3900	Torma Gyula	2006	2010
3901	Vámos Roland	2002	2006
3902	Balogh Lili	2021	NULL
3903	Varga Rebeka	2015	2019
3904	Galambos Bence	2003	2007
3905	Szakács Nándor	2015	2019
3906	Sípos György	2004	2008
3907	Fekete Alexandra	2010	2014
3908	Rácz Martin	2013	2017
3909	Gál László	2021	NULL
3910	Kovács Rudolf	2016	2020
3911	Torma Kitti	2021	NULL
3912	Torma Alajos	2013	2017
3913	Gál Bálint	2020	NULL
3914	Farkas András	2002	2006
3915	Szakács Lilla	2020	NULL
3916	Szabó László	2014	2018
3917	Hujber Gábor	2018	2022
3918	Fekete Ilonka	2008	2012
3919	Gál Gyula	2000	2004
3920	Tóth Nándor	2014	2018
3921	Elek Attila	2022	NULL
3922	Kovács Bence	2006	2010
3923	Pataki Ferenc	2003	2007
3924	Szilágyi Gabriella	2014	2018
3925	Töreki Mariann	2001	2005
3926	Ötvös Albert	2005	2009
3927	Balogh Krisztina	2007	2011
3928	Sípos Albert	2010	2014
3929	Fehér Zsuzsanna	2021	NULL
3930	Elek Ferenc	2006	2010
3931	Sípos Jenő	2003	2007
3932	Takács Nándor	2005	2009
3933	Rácz Alajos	2015	2019
3934	Kocsis Zsolt	2016	2020
3935	Töreki Gábor	2015	2019
3936	Töreki Katalin	2022	NULL
3937	Szilágyi Zsófia	2000	2004
3938	Mészáros Ilonka	2015	2019
3939	Takács Dóri	2020	NULL
3940	Galambos Luca	2009	2013
3941	Töreki Ferenc	2020	NULL
3942	Juhász Katalin	2022	NULL
3943	Sípos Lilla	2017	2021
3944	Somos Máté	2016	2020
3945	Fekete Bence	2011	2015
3946	Mészáros Eszter	2017	2021
3947	Ötvös János	2015	2019
3948	Vámos Noémi	2010	2014
3949	Ötvös Zsolt	2010	2014
3950	Molnár Dóri	2020	NULL
3951	Torma Gyula	2015	2019
3952	Vámos Gabriella	2016	2020
3953	Pataki Gergely	2004	2008
3954	Győri Balázs	2000	2004
3955	Galambos Krisztina	2014	2018
3956	Szilágyi Gábor	2021	NULL
3957	Hujber László	2006	2010
3958	Gál Zsófia	2008	2012
3959	Halász Balázs	2018	2022
3960	Fekete Dóri	2013	2017
3961	Németh Lajos	2020	NULL
3962	Kiss Zsolt	2022	NULL
3963	Sípos András	2010	2014
3964	Nagy Alajos	2001	2005
3965	Kovács Luca	2018	2022
3966	Fekete Jenő	2001	2005
3967	Halász Rudolf	2004	2008
3968	Kiss Rudolf	2011	2015
3969	Győri Bálint	2014	2018
3970	Szilágyi János	2003	2007
3971	Szakács Patrik	2020	NULL
3972	Szakács Réka	2009	2013
